x, y, z
-48.867969,-76.583615,2.386984
47.768749,-68.884692,-2.250054
-26.380728,2.300605,63.560492
-8.346616,-71.229662,58.854944
25.772553,5.410167,63.154563
-7.701211,58.903072,22.759377
-66.693460,-34.582581,28.164190
-32.832015,17.614331,10.367594
34.865070,16.938873,8.518442
35.455974,45.285161,25.240181
62.110549,-31.564252,35.233636
-43.443548,45.550113,28.022189
36.110219,47.239153,36.024197
-0.606182,42.406149,-9.161824
5.995878,44.148994,45.074056
0.793502,-17.688910,7.617086
-26.351669,-78.747027,9.086720
23.708209,-79.303088,9.322250
-21.162783,-48.419625,49.037658
19.830094,-49.070054,50.715223
-39.925651,-31.193862,-9.089385
-26.393953,-50.576381,22.162168
-19.935216,-0.397968,27.220132
-18.935207,31.113360,6.238276
19.149778,0.373880,26.706168
18.958659,33.111103,2.659790
27.898577,-42.794398,24.030341
-61.303108,-48.099763,39.994263
57.208843,-45.026052,35.957508
-55.810733,-15.494203,11.309636
-25.940233,-42.859593,-14.110145
27.607231,-38.186871,-15.072002
-43.089649,-66.666741,53.411005
-41.950502,54.301595,-4.896577
-33.400306,16.992609,58.979367
-35.515312,-68.817577,-34.016459
-20.045076,67.861046,-10.828963
20.759356,67.697996,-12.157998
-53.471393,-57.425631,13.757268
56.041673,-56.862939,11.044851
-57.753634,-24.558594,39.322735
58.949992,10.540571,28.067819
58.280777,-20.294057,41.229204
54.634023,-8.500542,-15.976423
-62.925101,-44.860719,-16.989964
-34.126363,-66.467798,40.291781
-23.921667,-44.787963,14.520290
-0.586244,-0.988762,21.666337
21.620311,-38.037133,18.416829
-24.701588,5.878742,3.974541
25.068363,7.753409,2.450758
34.297638,-70.917856,-33.985840
-48.931310,17.025674,29.331897
-33.707919,-62.179852,46.536189
55.195643,28.896094,24.447363
0.896964,-92.936035,-2.378641
-12.124576,55.106567,43.465904
-30.226334,54.997708,7.585200
29.079449,55.694438,10.421740
-21.332451,-66.320391,-51.848913
18.244861,-67.818373,-50.879472
-63.772519,4.011116,18.407071
-51.193980,-7.139121,53.306850
-1.446246,-0.323452,65.257022
51.799535,-2.166505,50.192490
-29.792162,51.604617,26.163066
2.357113,13.348458,65.442625
-48.412534,-66.856715,32.034060
-2.411873,-62.038139,31.154942
53.488731,-62.717085,30.346474
-51.072076,-5.657932,-28.790823
-1.298832,-56.605708,-40.726673
49.614700,-5.874781,-35.028607
-20.747447,-16.946319,67.873906
-24.965241,-31.141265,63.593057
-24.499145,-101.236077,-5.746260
25.700928,-100.360361,-2.922322
53.481624,39.339862,17.266463
-32.219415,-49.379567,-54.463745
26.554548,-49.650908,-54.347220
0.546127,-56.640194,40.515822
0.053539,-64.005706,-17.348681
-10.159183,-71.739403,35.475014
-0.281239,-28.023689,27.879958
-24.892547,26.343661,40.310915
22.673485,26.043573,41.101005
-65.876294,-20.086639,6.190735
66.221221,-24.244814,5.481021
-47.518275,-60.779450,-10.283986
-56.364601,-8.419666,32.340134
57.901324,-4.467095,28.700766
-16.844199,-25.677365,81.531652
19.023818,-27.352041,80.354327
-3.559574,-60.676472,18.383570
-17.368100,-55.411860,-0.410133
18.642030,-53.460926,1.299196
-46.933987,-48.218559,49.849481
46.178663,-44.978130,50.978828
45.270638,42.244380,13.454671
-29.652699,-85.849339,-40.135714
25.904230,-85.752629,-44.842685
-0.343158,-37.201951,32.955554
-0.110347,60.977156,-1.121582
-49.462991,42.905773,-3.841333
46.183205,44.833581,-9.438741
-23.724999,-77.756703,-9.703310
21.718031,-75.615156,-9.209029
42.140869,-20.962268,61.923745
-12.970656,-97.545308,18.312047
15.218553,-94.513237,19.352955
-42.700307,19.427740,-2.057142
45.314727,21.996307,-4.054528
-36.416354,-84.806409,-19.150830
33.820996,-85.141898,-17.063963
4.766819,-83.628610,34.483643
-60.935414,-35.125545,43.996460
-52.326857,6.531811,19.740966
-45.420682,37.404818,13.101415
-39.647463,-83.255271,30.158853
43.523233,-76.505994,31.600070
12.344977,-51.764910,68.216125
0.675088,-20.673428,41.465850
1.049337,35.158989,21.880655
-26.868408,-61.384268,68.454282
27.364030,-60.361355,68.616388
36.722003,21.752471,54.199200
38.269915,56.499319,-5.567052
46.908489,-62.723602,48.989356
65.936169,-32.008312,-8.712494
63.128488,-45.678928,-13.286313
-0.344406,-41.240984,-6.552649
0.195292,6.761470,11.217626
-47.898463,-23.888862,61.903163
-57.717165,0.759463,-18.553905
-39.759602,22.710675,-35.714215
38.486378,17.408568,-39.427079
-7.397282,-45.314271,-71.755746
0.775252,-85.191768,-17.067074
-0.668480,-54.442230,74.266268
2.394795,-96.443829,23.602444
0.080314,-41.941545,1.916037
1.018854,1.119762,75.468437
49.590464,-61.973713,-26.758009
53.676889,-18.086865,13.869992
-19.344088,74.059014,6.546845
13.318787,76.037500,6.675544
-22.964940,-67.616355,45.858663
26.569601,-67.640141,45.665694
1.176655,-77.726089,10.052877
-32.448903,-88.254150,-5.321783
32.276044,-87.004138,-3.212641
-30.416566,-85.237488,18.806495
33.740860,-80.448479,19.825024
1.335237,3.069403,46.964059
45.711452,10.508855,33.739778
-59.769296,-37.540935,0.872408
-56.009613,20.051850,9.171251
-44.995165,5.989956,49.774069
0.121690,-30.197946,66.446456
-34.807002,-93.901785,18.262210
23.187922,-84.009524,49.793628
41.261087,-88.492895,14.263964
