,n1,n2,distance
1,A,G,2.25
2,B,C,1.5
3,B,H,2.25
4,C,D,3
5,C,I,3
6,D,E,3.5
7,D,J,3
8,E,F,3
9,E,M,4.75
10,F,N,4.5
11,G,H,3
12,G,L,3.75
13,H,Q,5.75
14,J,K,3.5
15,J,R,5
16,M,O,3.75
17,M,S,3.25
18,P,X,5
19,Q,R,4.5
20,Q,T,3.75
21,R,S,3.5
22,R,U,3.75
23,X,T,1.25
24,X,V,2
25,T,U,4.5
26,U,W,3.5
27,V,Y,3.25
28,G,A,2.25
29,C,B,1.5
30,H,B,2.25
31,D,C,3
32,I,C,3
33,E,D,3.5
34,J,D,3
35,F,E,3
36,M,E,4.75
37,N,F,4.5
38,H,G,3
39,L,G,3.75
40,Q,H,5.75
41,K,J,3.5
42,R,J,5
43,O,M,3.75
44,S,M,3.25
45,X,P,5
46,R,Q,4.5
47,T,Q,3.75
48,S,R,3.5
49,U,R,3.75
50,T,X,1.25
51,V,X,2
52,U,T,4.5
53,W,U,3.5
54,Y,V,3.25
55,Z,P,3.5
56,Z,X,1.5
57,P,Z,3.5
58,X,Z,1.5
59,Z,T,2.75
